Compound ID, Name, Frequency, Title, Abstract
D000975, Antioxidants, 7, Physiological and morphological response of Aphanizomenon flos-aquae to watermelon (Citrullus lanatus) peel aqueous extract., Natural algaecides are more likely to be specific and biodegradable* and may offer an environmentally friendly method for control of cyanobacterial blooms. We explored* for the first time* the potential for watermelon peel aqueous extract (WMPAE) to control the growth of the harmful blue-green alga Aphanizomenon flos-aquae. The growth inhibition and several physiological parameters of A. flos-aquae* in response to WMPAE* were analyzed. Results showed that WMPAE significantly inhibited the growth of A. flos-aquae in a concentration-dependent way. The highest inhibition reached 94 % after 3 days' treatment with 6 g L
D010936, Plant Extracts, 4, Physiological and morphological response of Aphanizomenon flos-aquae to watermelon (Citrullus lanatus) peel aqueous extract., Natural algaecides are more likely to be specific and biodegradable* and may offer an environmentally friendly method for control of cyanobacterial blooms. We explored* for the first time* the potential for watermelon peel aqueous extract (WMPAE) to control the growth of the harmful blue-green alga Aphanizomenon flos-aquae. The growth inhibition and several physiological parameters of A. flos-aquae* in response to WMPAE* were analyzed. Results showed that WMPAE significantly inhibited the growth of A. flos-aquae in a concentration-dependent way. The highest inhibition reached 94 % after 3 days' treatment with 6 g L
D014874, Water Pollutants* Chemical, 9, Physiological and morphological response of Aphanizomenon flos-aquae to watermelon (Citrullus lanatus) peel aqueous extract., Natural algaecides are more likely to be specific and biodegradable* and may offer an environmentally friendly method for control of cyanobacterial blooms. We explored* for the first time* the potential for watermelon peel aqueous extract (WMPAE) to control the growth of the harmful blue-green alga Aphanizomenon flos-aquae. The growth inhibition and several physiological parameters of A. flos-aquae* in response to WMPAE* were analyzed. Results showed that WMPAE significantly inhibited the growth of A. flos-aquae in a concentration-dependent way. The highest inhibition reached 94 % after 3 days' treatment with 6 g L
D008315, Malondialdehyde, 4, Physiological and morphological response of Aphanizomenon flos-aquae to watermelon (Citrullus lanatus) peel aqueous extract., Natural algaecides are more likely to be specific and biodegradable* and may offer an environmentally friendly method for control of cyanobacterial blooms. We explored* for the first time* the potential for watermelon peel aqueous extract (WMPAE) to control the growth of the harmful blue-green alga Aphanizomenon flos-aquae. The growth inhibition and several physiological parameters of A. flos-aquae* in response to WMPAE* were analyzed. Results showed that WMPAE significantly inhibited the growth of A. flos-aquae in a concentration-dependent way. The highest inhibition reached 94 % after 3 days' treatment with 6 g L
D002374, Catalase, 2, Physiological and morphological response of Aphanizomenon flos-aquae to watermelon (Citrullus lanatus) peel aqueous extract., Natural algaecides are more likely to be specific and biodegradable* and may offer an environmentally friendly method for control of cyanobacterial blooms. We explored* for the first time* the potential for watermelon peel aqueous extract (WMPAE) to control the growth of the harmful blue-green alga Aphanizomenon flos-aquae. The growth inhibition and several physiological parameters of A. flos-aquae* in response to WMPAE* were analyzed. Results showed that WMPAE significantly inhibited the growth of A. flos-aquae in a concentration-dependent way. The highest inhibition reached 94 % after 3 days' treatment with 6 g L
D009195, Peroxidase, 1, Physiological and morphological response of Aphanizomenon flos-aquae to watermelon (Citrullus lanatus) peel aqueous extract., Natural algaecides are more likely to be specific and biodegradable* and may offer an environmentally friendly method for control of cyanobacterial blooms. We explored* for the first time* the potential for watermelon peel aqueous extract (WMPAE) to control the growth of the harmful blue-green alga Aphanizomenon flos-aquae. The growth inhibition and several physiological parameters of A. flos-aquae* in response to WMPAE* were analyzed. Results showed that WMPAE significantly inhibited the growth of A. flos-aquae in a concentration-dependent way. The highest inhibition reached 94 % after 3 days' treatment with 6 g L
D013482, Superoxide Dismutase, 3, Physiological and morphological response of Aphanizomenon flos-aquae to watermelon (Citrullus lanatus) peel aqueous extract., Natural algaecides are more likely to be specific and biodegradable* and may offer an environmentally friendly method for control of cyanobacterial blooms. We explored* for the first time* the potential for watermelon peel aqueous extract (WMPAE) to control the growth of the harmful blue-green alga Aphanizomenon flos-aquae. The growth inhibition and several physiological parameters of A. flos-aquae* in response to WMPAE* were analyzed. Results showed that WMPAE significantly inhibited the growth of A. flos-aquae in a concentration-dependent way. The highest inhibition reached 94 % after 3 days' treatment with 6 g L
D000077194, Chlorophyll A, 3, Physiological and morphological response of Aphanizomenon flos-aquae to watermelon (Citrullus lanatus) peel aqueous extract., Natural algaecides are more likely to be specific and biodegradable* and may offer an environmentally friendly method for control of cyanobacterial blooms. We explored* for the first time* the potential for watermelon peel aqueous extract (WMPAE) to control the growth of the harmful blue-green alga Aphanizomenon flos-aquae. The growth inhibition and several physiological parameters of A. flos-aquae* in response to WMPAE* were analyzed. Results showed that WMPAE significantly inhibited the growth of A. flos-aquae in a concentration-dependent way. The highest inhibition reached 94 % after 3 days' treatment with 6 g L
D044122, Receptor* Melatonin* MT1, 1, Melatonin: an endogenous miraculous indolamine, fights against cancer progression., PURPOSE: Melatonin is an amphipathic indolamine molecule ubiquitously present in all organisms ranging from cyanobacteria to humans. The pineal gland is the site of melatonin synthesis and secretion under the influence of the retinohypothalamic tract. Some extrapineal tissues (skin* lens* gastrointestinal tract* testis* ovary* lymphocytes* and astrocytes) also enable to produce melatonin. Physiologically* melatonin regulates various functions like circadian rhythm* sleep-wake cycle* gonadal activity* redox homeostasis* neuroprotection* immune-modulation* and anticancer effects in the body. Inappropriate melatonin secretion advances the aging process* tumorigenesis* visceral adiposity* etc. METHODS: For the preparation of this review* I had reviewed the literature on the multidimensional activities of melatonin from the NCBI website database PubMed* Springer Nature* Science Direct (Elsevier)* Wiley Online ResearchGate* and Google Scholar databases to search relevant articles. Specifically* I focused on the roles and mechanisms of action of melatonin in cancer prevention. RESULTS: The actions of melatonin are primarily mediated by G-protein coupled MT1 and MT2 receptors; however* several intracellular protein and nuclear receptors can modulate the activity. Normal levels of the melatonin protect the cells from adverse effects including carcinogenesis. Therapeutically* melatonin has chronomedicinal value; it also shows a remarkable anticancer property. The oncostatic action of melatonin is multidimensional* associated with the advancement of apoptosis* the arrest of the cell cycle* inhibition of metastasis* and antioxidant activity. CONCLUSION: The present review has emphasized the mechanism of the anti-neoplastic activity of melatonin that increases the possibilities of the new approaches in cancer therapy.
D044123, Receptor* Melatonin* MT2, 1, Melatonin: an endogenous miraculous indolamine, fights against cancer progression., PURPOSE: Melatonin is an amphipathic indolamine molecule ubiquitously present in all organisms ranging from cyanobacteria to humans. The pineal gland is the site of melatonin synthesis and secretion under the influence of the retinohypothalamic tract. Some extrapineal tissues (skin* lens* gastrointestinal tract* testis* ovary* lymphocytes* and astrocytes) also enable to produce melatonin. Physiologically* melatonin regulates various functions like circadian rhythm* sleep-wake cycle* gonadal activity* redox homeostasis* neuroprotection* immune-modulation* and anticancer effects in the body. Inappropriate melatonin secretion advances the aging process* tumorigenesis* visceral adiposity* etc. METHODS: For the preparation of this review* I had reviewed the literature on the multidimensional activities of melatonin from the NCBI website database PubMed* Springer Nature* Science Direct (Elsevier)* Wiley Online ResearchGate* and Google Scholar databases to search relevant articles. Specifically* I focused on the roles and mechanisms of action of melatonin in cancer prevention. RESULTS: The actions of melatonin are primarily mediated by G-protein coupled MT1 and MT2 receptors; however* several intracellular protein and nuclear receptors can modulate the activity. Normal levels of the melatonin protect the cells from adverse effects including carcinogenesis. Therapeutically* melatonin has chronomedicinal value; it also shows a remarkable anticancer property. The oncostatic action of melatonin is multidimensional* associated with the advancement of apoptosis* the arrest of the cell cycle* inhibition of metastasis* and antioxidant activity. CONCLUSION: The present review has emphasized the mechanism of the anti-neoplastic activity of melatonin that increases the possibilities of the new approaches in cancer therapy.
